title,artist,total_popularity_weight,spotify_id
Shape of You,Ed Sheeran,7862254,7qiZfU4dY1lWllzX7mPBI3
Blinding Lights,The Weeknd,7537512,0VjIjW4GlUZAMYd2vXMi3b
Someone You Loved,Lewis Capaldi,6519460,7qEHsqek33rTcFNT9PFqLf
Dance Monkey,Tones And I,6060015,2XU0oxnq2qxCpomAAuJY8K
Believer,Imagine Dragons,5455994,0pqnGHJpmpxLKifKRmU6WP
Perfect,Ed Sheeran,5178167,0tgVpDi06FyKpA1z0VMD4v
Don't Start Now,Dua Lipa,5167284,3PfIrDoz19wz7qK7tYeu62
bad guy,Billie Eilish,5108255,2Fxmhks0bxGSBdJ92vM42m
Señorita,"Shawn Mendes, Camila Cabello",4976404,0TK2YIli7K1leLovkQiNik
Watermelon Sugar,Harry Styles,4825396,6UelLqGlWMcVH1E5c4H7lY
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",4724780,3KkXRkHbMCARz0aVfEt68P
Shallow,"Lady Gaga, Bradley Cooper",4698850,2VxeLyX666F8uXCJ0dZF8B
Roses - Imanbek Remix,SAINt JHN,4068472,24Yi9hE78yPEbZ4kxyoXAI
Lucid Dreams,Juice WRLD,3983941,285pBltuF7vW8TeWk8hdRR
New Rules,Dua Lipa,3928280,2ekn2ttSfGqwhhate0LSR0
Circles,Post Malone,3841056,21jGcNKet2qwijlDFuPiPb
Something Just Like This,"The Chainsmokers, Coldplay",3839516,1dNIEtp7AY3oDAKCGg2XkH
Thunder,Imagine Dragons,3790330,1zB4vmk8tFRmM9UULNzbLB
Say You Won't Let Go,James Arthur,3730372,5uCax9HTNlzGybIStD3vDh
lovely (with Khalid),Billie Eilish,3713889,0u2P5u6lvoDfwTYjAADbn4
Happier,"Marshmello, Bastille",3703898,7BqHUALzNBTanL6OvsqmC1
Me Rehúso,Danny Ocean,3695013,6De0lHrwBfPfrhorm9q1Xl
Memories,Maroon 5,3639398,4cktbXiXOapiLBMprHFErI
Levitating (feat. DaBaby),Dua Lipa,3445998,5nujrmhLynf4yMoMtj8AQF
